ODBA_sampling_rate,GPS_fix_rate,burst_length,Inc_ODBA_q2.5,Inc_ODBA_q97.5,Inc_ODBA_mean,Inc_nsd_q2.5,Inc_nsd_q97.5,Inc_nsd_mean,Inc_ddist_q2.5,Inc_ddist_q97.5,Inc_ddist_mean,Not_ODBA_q2.5,Not_ODBA_q97.5,Not_ODBA_mean,Not_nsd_q2.5,Not_nsd_q97.5,Not_nsd_mean,Not_ddist_q2.5,Not_ddist_q97.5,Not_ddist_mean
12,90,30,0.027691282407407404,0.1777284279772515,0.07920721084243595,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,0.9438322582477432,0.35948422616925557,0.594285674359619,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
24,90,30,0.02477476142987249,0.17348485277777773,0.07822272778393088,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,0.9551682814814811,0.35330880364092904,0.596087905484136,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
48,90,30,0.0189981874201788,0.1981080907407407,0.07645618021824661,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,0.9637879555555555,0.3329551110493141,0.5968069205094083,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
72,90,30,0.015797319444444444,0.23929117543859646,0.08206632049162257,0.0038817246066788595,0.08089445545893374,0.023598645345234336,5.162827044580673e-4,0.0095780173071012345,0.0028679268118194778,1.0164420026315784,0.29932966666666666,0.5953693644130688,0.04217843350672675,7.236792228477752,1.435991591407453,0.024576792788121426,9.164536530371151,1.81324223317941
96,90,30,0.014403511111111105,0.2045246770833333,0.07133722318672839,0.0038817246066788595,0.08089445545893374,0.023524665629194336,5.162827044580673e-4,0.0095780173071012345,0.0028649076376218996,1.0018851706349203,0.26840077777777777,0.6002458584153993,0.04217843350672675,7.236792228477752,1.4358995178382765,0.024576792788121426,9.164536530371151,1.813166156989485
120,90,30,0.014664055555555559,0.227612875,0.07883664067895839,0.0038817246066788595,0.08089445545893374,0.02367634559111353,5.162827044580673e-4,0.009601981338967306,0.0028661864730992657,1.069725185185185,0.24863450142450141,0.6002360788444188,0.04816659014696485,7.236792228477752,1.4395744625688542,0.024576792788121426,9.164536530371151,1.8115419686771297
144,90,30,0.012234816666666667,0.29067104999999993,0.07564528288673775,0.0038817246066788595,0.08089445545893374,0.023651470376915486,5.162827044580673e-4,0.010509352754295712,0.0101771177543629,1.049705588888889,0.21743392222222221,0.59062263510615165,0.04217843350672675,7.236792228477752,1.4335967114807284,0.024576792788121426,9.164536530371151,1.806565803136058
6,15,20,0.02660921663135593,0.15487404166666666,0.07152842190172956,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9029618313018484,0.33968852599789917,0.5578526478476196,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
12,15,20,0.023892845351890755,0.15121612409715948,0.07045268490647379,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9065835555409663,0.3375522875,0.5580517092154065,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
24,15,20,0.021492439583333328,0.16042652745901637,0.070409041811021,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9143451012711858,0.32363717926912566,0.5595832905992375,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
48,15,20,0.0163421375,0.1877340916666666,0.06886913861756118,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9062220166666666,0.28480180603448274,0.5594188339619405,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
72,15,20,0.01420045,0.22662814374999996,0.0737826565143327,0.004125423144354284,0.0894516111161888,0.026745300421607766,8.633937652219972e-5,0.0033476253871298047,0.0014221717156149443,0.9678557276785711,0.2796419982142857,0.5593285329308219,0.05256084505396154,7.623456354006133,1.494190848401314,0.019330463896801615,9.051409523850097,1.8309032009215434
